year,paper_name
2018,An improved estimation of distribution algorithm for cloud computing resource scheduling. 2018 Tenth International Conference on Advanced Computational Intelligence (ICACI)
2018,"Identifying DNA Methylation Modules Associated with a Cancer by Probabilistic Evolutionary Learning. IEEE Computational Intelligence Magazine, 13(3), 12–19"
2018,"Non-Gaussian Systems Control Performance Assessment Based on Rational Entropy. Entropy, 20(5), 331"
2018,Evaluating the Max-Min Hill-Climbing Estimation of Distribution Algorithm on B-Functions
2018,Multiple Power Line Outage Detection in Smart Grids Probabilistic Bayesian Approach
2018,"Experimental comparisons with respect to the usage of the promising relations in EDA-based causal discovery. Annals of Operations Research, 265(2), 241–255"
2018,A new Algorithm based on the Gbest of Particle Swarm Optimization algorithm to improve Estimation of Distribution Algorithm
2018,"Applied Research on Distributed Generation Optimal Allocation Based on Improved Estimation of Distribution Algorithm. Energies, 11(9), 2363"
2018,Increasing Boosting Effectiveness with Estimation of Distribution Algorithms
2018,Self-Calibration of Traffic Surveillance Cameras Based on Moving Vehicle Appearance and 3-D Vehicle Modeling. 2018 25th IEEE International Conference on Image Processing (ICIP)
2018,The Improved Estimation of Distribution Algorithms for Community Detection
2018,Hierarchical Energy Management for Power-Split Plug-In HEVs Using Distance-Based Optimized Speed and SOC Profiles
2018,Restricted Boltzmann Machine-Assisted Estimation of Distribution Algorithm for Complex Problems
2018,The N-Tuple Bandit Evolutionary Algorithm for Game Agent Optimisation. 2018 IEEE Congress on Evolutionary Computation (CEC)
2018,Optimization of Contract Distribution Based on Multi-objective Estimation of Distribution Algorithm
2018,Analysing a Hybrid Model-Based Evolutionary Algorithm for a Hard Grouping Problem
2018,"Anisotropic adaptive variance scaling for Gaussian estimation of distribution algorithm. Knowledge-Based Systems, 146, 142–151"
2018,"Decentralized Optimization Algorithms for Variable Speed Pumps Operation Based on Local Interaction Game. Journal of Control Science and Engineering, 2018, 1–12"
2018,"Estimation of distribution algorithm with path relinking for the blocking flow-shop scheduling problem. Engineering Optimization, 50(5), 894–916"
2018,Multi-objective hybrid estimation of distribution algorithm-interior point method-based meter placement for active distribution state estimation
2018,"Multi-mode resource leveling in projects with mode-dependent generalized precedence relations. Expert Systems with Applications, 97, 193–204"
2018,Expanding variational autoencoders for learning and exploiting latent representations in search distributions. Proceedings of the Genetic and Evolutionary Computation Conference on   - GECCO  ’18
2018,"Dynamic Multi-objective Estimation of Distribution Algorithm based on Domain Adaptation and Nonparametric Estimation. Information Sciences, 435, 203–223"
2018,Exploiting Linkage Information and Problem-Specific Knowledge in Evolutionary Distribution Network Expansion Planning
2018,"Deadlock-Free Scheduling of Flexible Assembly Systems Based on Petri Nets and Local Search. IEEE Transactions on Systems, Man, and Cybernetics  Systems, 1–12"
2018,"Transfer Learning based Dynamic Multiobjective Optimization Algorithms. IEEE Transactions on Evolutionary Computation, 1–1"
2018,CSA-DE-EDA- A Clonal Selection Algorithm Using Differential Evolution and Estimation of Distribution Algorithm
2018,An Estimation of Distribution Algorithm for Large-Scale Optimization with Cooperative Co-evolution and Local Search
2018,Multimodal estimation of distribution algorithm based on cooperative clustering strategy. 2018 Chinese Control And Decision Conference (CCDC)
2018,"Minimizing the resource consumption of heterogeneous batch-processing machines using a copula-based estimation of distribution algorithm. Applied Soft Computing, 73, 283–305"
2018,"Improved Regularity Model-based EDA for Many-objective Optimization. IEEE Transactions on Evolutionary Computation, 1–1"
2018,Optimization of buffer allocation in unreliable production lines based on availability evaluation
2018,"Trade-offs in PMU and IED Deployment for Active Distribution State Estimation Using Multi-objective Evolutionary Algorithm. IEEE Transactions on Instrumentation and Measurement, 67(6), 1298–1307"
2018,An insight to the performance of estimation of distribution algorithm for multiple line outage identification
2018,A full variate Gaussian model-based RM-MEDA without clustering process. International Journal of Machine Learning and Cybernetics
2018,Improved Regularity Model-Based EDA for Many-Objective Optimization
2018,"Information fusion in offspring generation  A case study in DE and EDA. Swarm and Evolutionary Computation, 42, 99–108"
2018,Exploring the probabilistic graphic model of a hybrid multi-objective Bayesian estimation of distribution algorithm. Applied Soft Computing
2018,Significance-based Estimation-of-Distribution Algorithms
2018,A multi-objective optimization model and its evolution-based solutions for the fingertip localization problem
2018,"A hybrid estimation of distribution algorithm for flexible job-shop scheduling problems with process plan flexibility. Applied Intelligence, 48(10), 3707–3734"
2018,"An Improved Shuffled Frog Leaping Algorithm and Its Application in Dynamic Emergency Vehicle Dispatching. Mathematical Problems in Engineering, 2018, 1–34"
2018,A Multi-Model Estimation of Distribution Algorithm for Agent Routing Problem in Multi-Point Dynamic Task. 2018 37th Chinese Control Conference (CCC)
2018,Estimation of Distribution Algorithm for Autonomous Underwater Vehicles Path Planning
2018,"NSGA-II EDA Hybrid Evolutionary Algorithm for Solving Multi-objective Economic Emission Dispatch Problem. Electric Power Components and Systems, 1–13"
2018,"An Estimation of Distribution Algorithm for Multi-robot Multi-point Dynamic Aggregation Problem. 2018 IEEE International Conference on Systems, Man, and Cybernetics (SMC)"
2018,Decentralized Estimation of Distribution Algorithms for Large Scale Networked Systems
2018,"Hybrid estimation of distribution algorithms for solving a keyboard layout problem. Journal of Industrial and Production Engineering, 1–16"
2018,"Determining the inspection intervals for one-shot systems with support equipment. Reliability Engineering & System Safety, 169, 63–75"
2018,Level-Based Analysis of Genetic Algorithms and Other Search Processes
2019,PM-IEDA- Dual probabilistic Model Assisted Interactive Estimation of Distribution Algorithm for Personalized Search
2019,"Intelligent Path Planning for AUVs in Dynamic Environments  An EDA-Based Learning Fixed Height Histogram Approach. IEEE Access, 7, 185433–185446"
2019,k Satisfiability Programming by using Estimation of Distribution Algorithm in Hopfield Neural Network_removed
2019,Optimizing Permutation-Based Problems With a Discrete Vine-Copula as a Model for EDA
2019,Using EDA-Based Local Search to Improve the Performance of NSGA-II for Multiobjective Semantic Web Service Composition
2019,A Mathematical Analysis of EDAs with Distance-based Exponential Models
2019,An exponential lower bound for the runtime of the compact genetic algorithm on jump functions. Proceedings of the 15th ACM SIGEVO Conference on Foundations of Genetic Algorithms  - FOGA  ’19
2019,Approaching the quadratic assignment problem with kernels of mallows models under the hamming distance. Proceedings of the Genetic and Evolutionary Computation Conference Companion
2019,A latent space-based estimation of distribution algorithm for large-scale global optimization. Soft Computing
2019,Fast single individual haplotyping method using GPGPU
2019,"Cash flow prediction using artificial neural network and GA-EDA optimization. Journal of Project Management, 43–56"
2019,"A copula-based estimation of distribution algorithm for calibration of microscopic traffic models. Transportation Research Part C  Emerging Technologies, 98, 449–470"
2019,A Decentralized Continuous Estimation of Distribution Algorithm for Networked Systems. 2019 Chinese Control Conference (CCC)
2019,A Tight Runtime Analysis for the cGA on Jump Functions-EDAs Can Cross Fitness Valleys at No Extra Cost
2019,An elitist nondominated sorting hybrid algorithm for multi-objective flexible job-shop scheduling problem with sequence-dependent setups
2019,Solving Dynamic Multi-objective Optimization Problems Using Incremental Support Vector Machine. 2019 IEEE Congress on Evolutionary Computation (CEC)
2019,"Fuzzy Logics as an Integral Part of Evolutionary Algorithms. Nuclear Science and Engineering, 1–12"
2019,Research Survey and Application on Ground Holding Policy
2019,Migrating Birds Optimization for Lot-streaming flow shop scheduling problem. 2019 IEEE Congress on Evolutionary Computation (CEC)
2019,EDA based Deep Neural Network Parameter Optimization. Proceedings of the 3rd International Conference on Computer Science and Application Engineering  - CSAE 2019
2019,Configuration Design of Mechanical Assemblies using an Estimation of Distribution Algorithm and Constraint Programming. 2019 IEEE Congress on Evolutionary Computation (CEC)
2019,Modified Estimation of Distribution Algorithm for Solving Flow-shop Scheduling Problem with Setup Times. 2019 Chinese Automation Congress (CAC)
2019,"An EDA for the 2D knapsack problem with guillotine constraint. Central European Journal of Operations Research, 27(2), 329–356"
2019,A Radial Hybrid Estimation of Distribution Algorithm for the Vehicle Routing Problem with Time Windows
2019,A combination method using evolutionary algorithms in initial orbit determination for too short arc
2019,A Hybrid Metaheuristic of Integrating Estimation of Distribution Algorithm with Tabu Search for the Max-Mean Dispersion Problem
2019,Random Walk Mutation-based DE with EDA for Nonlinear Equations Systems. 2019 IEEE Congress on Evolutionary Computation (CEC)
2019,"ESTHER  Joint Camera Self-calibration and Automatic Radial Distortion Correction from Tracking of Walking Humans. IEEE Access, 1–1"
2019,A Pareto-Based Estimation of Distribution Algorithm for Solving Multiobjective Distributed No-Wait Flow-Shop Scheduling Problem With Sequence-Dependent Setup Time
2019,A Histogram Estimation of Distribution Algorithm for Reversible Lanes Optimization Problems. 2019 IEEE Congress on Evolutionary Computation (CEC)
2019,A probability distribution function for investigating node infection and removal times. Transactions on Emerging Telecommunications Technologies
2019,"Two-stage hybrid flow shop scheduling on parallel batching machines considering a job-dependent deteriorating effect and non-identical job sizes. Applied Soft Computing, 84, 105701"
2019,A hybrid multi-objective EDA for robust resource constraint project scheduling with uncertainty. Computers & Industrial Engineering
2019,Large-Scale Estimation of Distribution Algorithms with Adaptive Heavy Tailed Random Projection Ensembles
2019,"An EDA-GA Hybrid Algorithm for Multi-Objective Task Scheduling in Cloud Computing. IEEE Access, 7, 146379–146389"
2019,"An Efficient Probabilistic Approach Based on Area Grey Incidence Decision Making for Optimal Distributed Generation Planning. IEEE Access, 1–1"
2019,A parallel refined probabilistic approach for QoS-aware service composition. Future Generation Computer Systems
2019,Study of Via Optimization Problem Based on Estimation of Distribution Algorithm. 2019 12th International Symposium on Computational Intelligence and Design (ISCID). h
2019,Search Space Reduction Model with Trigonometric Function for Linear Equality Constraint-handling  The Case of Portfolio Replication Problem. 2019 IEEE Congress on Evolutionary Computation (CEC)
2019,"A two-stage assignment strategy for the robust scheduling of dual-resource constrained stochastic job shop scheduling problems. IFAC-PapersOnLine, 52(13), 421–426"
2019,MCEDA- A novel many-objective optimization approach based on model and clustering
2019,Estimation of Distribution Algorithm for Joint Resource Management in D2D Communication
2019,A Novel Imperialist Competitive Algorithm With Multi-Elite Individuals Guidance for Multi-Object Unrelated Parallel Machine Scheduling Problem
2019,"Evolutionary Estimation of Distribution Algorithm for Agricultural Routing Planning in Field Logistics. Procedia Computer Science, 161, 560–567"
2019,Multi-objective search-based software modularization- structural and non-structural features
2019,"Improved Renyi Entropy Benchmark for Performance Assessment of Common Cascade Control System. IEEE Access, 7, 6796–6803"
2019,An Adaptive Estimation of Distribution Algorithm for Multipolicy Insurance Investment Planning
2019,Unbiasedness of estimation-of-distribution algorithms
2019,"An Enhanced Estimation of Distribution Algorithm for Energy-Efficient Job-Shop Scheduling Problems with Transportation Constraints. Sustainability, 11(11), 3085"
2019,A Gaussian Estimation of Distribution Algorithm With Random Walk Strategies and Its Application in Optimal Missile Guidance Handover for Multi-UCAV in Over-the-Horizon Air Combat
2019,Performance Assessment of Non-Gaussian Control Systems Based on Mixture Correntropy
2019,"A hybrid enhanced bat algorithm for the generalized redundancy allocation problem. Swarm and Evolutionary Computation, 100562"
2019,An efficient estimation of distribution algorithm with rank-one modification and population reduction
2019,A Deadline-Aware Estimation of Distribution Algorithm for Resource Scheduling in Fog Computing Systems. 2019 IEEE Congress on Evolutionary Computation (CEC)
2019,Dynamic assignment problem of parking slots. 2019 International Conference on Industrial Engineering and Systems Management (IESM)
2019,Balancing exploration and exploitation in multiobjective evolutionary optimization. Proceedings of the Genetic and Evolutionary Computation Conference Companion on   - GECCO  ’18
2019,Dynamic deployment optimization of near space communication system using a novel estimation of distribution algorithm
2019,A novel approach for protein structure prediction based on an estimation of distribution algorithm. Soft Computing
2019,An evolutionary algorithm based hyper-heuristic framework for the set packing problem
2019,EDA with Hamming Distance for Consumption-Loan Planning in Experimental Economics
2019,"Visual Analysis Scenarios for Understanding Evolutionary Computational Techniques’ Behavior. Information, 10(3), 88"
2019,CSA-DE:EDA- a Novel Bio-inspired Algorithm for Function Optimization and Segmentation of Brain MR Images
2019,Estimation of Distribution Algorithm Based on Levy Flight for Solving the Set-Union Knapsack Problem
2020,The Univariate Marginal Distribution Algorithm Copes Well with Deception and Epistasis
2020,Comparative Mixing for DSMGA-II
2020,A comparative study on evolutionary algorithms for the agent routing problem in multi-point dynamic task
2020,A cooperative coevolution algorithm for multi-objective fuzzy distributed hybrid flow shop
2020,On measuring and improving the quality of linkage learning in modern evolutionary algorithms applied to solve partially additively separable problems
2020,Multi-speed Gearbox Synthesis Using Global Search and Non-convex Optimization
2020,A GPU-Enabled Compact Genetic Algorithm for Very Large-Scale Optimization Problems
2020,Dynamic Bandwidth Scheduling of Software Defined Networked Collaborative Control System
2020,Novel Prediction Strategies for Dynamic Multiobjective Optimization
2020,Estimation of distribution-based multiobjective design space exploration for energy and throughput-optimized MPSoCs
2020,A novel approach to solve AI planning problems in graph transformations
2020,Bound-guided hybrid estimation of distribution algorithm for energy-efficient robotic assembly line balancing
2020,Multi-objective Optimization of Unit Restoration During Network Reconstruction Based on DE-EDA
2020,A Gaussian Process Assisted Offline Estimation of Multivariate Gaussian Distribution Algorithm
2020,Bivariate estimation-of-distribution algorithms can find an exponential number of optima
2020,A Hybrid Estimation-of-Distribution Algorithm for Scheduling Flexible Job Shop With Limited Buffers Based on Petri Nets
2020,Lower bounds on the run time of the Univariate Marginal Distribution Algorithm on OneMax. Theoretical Computer Science
2020,Alternative Representations for Codifying Solutions in Permutation-Based Problems
2020,Language model based interactive estimation of distribution algorithm
2020,A self-adaptive estimation of distribution algorithm with differential evolution strategy for supermarket location problem
2020,An evolutionary algorithm for automated machine learning focusing on classifier ensembles- An improved algorithm and extended results
2020,Sharp Bounds for Genetic Drift in Estimation of Distribution Algorithms
2020,An inverse model-based multiobjective estimation of distribution algorithm using Random-Forest variable importance methods. Computational Intelligence
2020,A novel strategy for power sources management in connected plug-in hybrid electric vehicles based on mobile edge computation framework
2020,Estimation of Distribution Algorithms with Fuzzy Sampling for Stochastic Programming Problems
2020,A patient flow scheduling problem in ophthalmology clinic solved by the hybrid EDA-VNS algorithm
2020,Berth scheduling at marine container terminals A universal island-based metaheuristic approach
2020,Multisource Selective Transfer Framework in Multiobjective Optimization Problems
2020,Support condition monitoring of offshore wind turbines using model updating techniques
2020,Restricted Boltzmann Machine-driven Interactive Estimation of Distribution Algorithm for personalized search
2020,Enhanced Interactive Estimation of Distribution Algorithms with Attention Mechanism and Restricted Boltzmann Machine
2020,Local Parameter Optimization of LSSVM for Industrial Soft Sensing With Big Data and Cloud Implementation
2020,Information Fusion in Offspring Generation- A Case Study in Gene Expression Programming
2020,Significance-Based Estimation-of-Distribution Algorithms
2020,Traffic Signal Optimization with Estimation of Distribution Algorithms and VISSIM-MATLAB Integrated Simulation Platform
2020,Multi-objective green flowshop scheduling problem under uncertainty- Estimation of distribution algorithm
2020,Optimal chiller loading in HVAC System Using a Novel Algorithm Based on the distributed framework
2020,An Estimation of Distribution Algorithm for Mixed-Variable Newsvendor Problems
2020,An Estimation of Distribution Algorithm With Multi-Leader Search
2020,"Biomedical Classification Problems Automatically Solved by Computational Intelligence Methods. IEEE Access, 1–1"
2021,"Hybrid Estimation of Distribution Algorithm for the Quay Crane Scheduling Problem. Applied Soft Computing, 13(10), 4063–4076"
2021,"Hybrid optimization for charge planning problem in twin strands continuous casting production. Journal of Iron and Steel Research International, 28(5), 520–529"
2021,Stochastic resource-constrained project scheduling problem with time varying weather conditions and an improved estimation of distribution algorithm
2021,Acceleration Control Design of HEVs with Comfortability Evaluation based on IRL
2021,"Data-driven topology design using a deep generative model. Structural and Multidisciplinary Optimization, 64(3), 1401–1420"
2021,PREEMPTIVE RESOURCE LEVELING IN PROJECTS
2021,Cooperative hybrid evolutionary algorithm for large scale multi-stage multi-product batch plants scheduling problem
2021,Using Markov Chain Based Estimation of Distribution Algorithm for Model-Based Safety Analysis of Graph Transformation
2021,"Robust parameter estimation of a PEMFC via optimization based on probabilistic model building. Mathematics and Computers in Simulation, 185, 218–237"
2021,Random mask-based estimation of the distribution algorithm for stacked auto-encoder one-step pre-training. Computers & Industrial En
2021,Estimation of distribution algorithms for the computation of innovation estimators of diffusion processes
2021,EDA-based optimized global control for PV inverters in distribution grids
2021,Analysis of Bayesian Network Learning Techniques for a Hybrid Multi-objective Bayesian Estimation of Distribution Algorithm a case study on MNK Landscape
2021,"Maximizing Lifetime of Range-Adjustable Wireless Sensor Networks  A Neighborhood-Based Estimation of Distribution Algorithm. IEEE Transactions on Cybernetics, 1–12"
2021,A hybrid imperialist competitive algorithm for the outpatient scheduling problem with switching and preparation times
2021,"Solving slot allocation problem with multiple ATFM measures by using enhanced meta-heuristic algorithm. Computers & Industrial Engineering, 160, 107602"
2021,"Collaborative Optimization Design for Centralized Networked Control System. IEEE Access, 9, 19479–19487"
2021,"A path relinking enhanced estimation of distribution algorithm for direct acyclic graph task scheduling problem. Knowledge-Based Systems, 228, 107255"
2021,An Adaptive Covariance Scaling Estimation of Distribution Algorithm
2021,"A two-stage approach for multicast-oriented virtual network function placement. Applied Soft Computing, 112, 107798"
2021,Parameter Calibration of the Patch Growing Algorithm for Urban Land Change Simulations
2021,Probabilistic distribution learning algorithm based transmit antenna selection and precoding for millimeter wave massive MIMO systems. Telecommunication Systems
2021,Towards Explainable Metaheuristics- PCA for Trajectory Mining in Evolutionary Algorithms
2021,"An improved estimation of distribution algorithm for multi-compartment electric vehicle routing problem. Journal of Systems Engineering and Electronics, 32(2), 365–379"
2021,On Crossing Fitness Valleys with Majority-Vote Crossover and Estimation-of-Distribution Algorithms
2021,Hybrid Estimation of Distribution Algorithm for Solving Three-Stage Multiobjective Integrated Scheduling Problem
2021,Surrogate-assisted cooperative signal optimization for large-scale traffic networks
2021,A variable neighbourhood search enhanced estimation of distribution algorithm for quadratic assignment problems. OPSEARCH
2021,Multi-task Allocation of Multi-UAV Coalition Based on Improved Quantum Genetic Algorithm
2021,Optimal model parameter estimation of solar and fuel cells using improved estimation of distribution algorithm
2021,Quantum-Inspired Estimation Of Distribution Algorithm To Solve The Travelling Salesman Problem
2021,"Hybrid Evolutionary Scheduling for Energy-efficient Fog-enhanced Internet of Things. IEEE Transactions on Cloud Computing, 1–1"
2021,Differential Evolution with Estimation of Distribution for Worst-Case Scenario Optimization
2021,Cooperative Path Planning of UAVs & UGVs for a Persistent Surveillance Task in Urban Environments
2021,Neural Architecture Search by Estimation of Network Structure Distributions
2021,Handling Uncertainty in Financial Decision Making A Clustering Estimation of Distribution Algorithm With Simplified Simulation
2021,Solving dynamic multi-objective problems with a new prediction-based optimization algorithm
2021,The Runtime of the Compact Genetic Algorithm on Jump Functions
2021,"An incremental-learning model-based multiobjective estimation of distribution algorithm. Information Sciences, 569, 430–449"
2021,Automated Dimensional Synthesis of a Portable Sky Scanner for Measuring Light Pollution
2021,"An improved gravitational search algorithm to the hybrid flowshop with unrelated parallel machines scheduling problem. International Journal of Production Research, 1–17"
2021,"Achieving Highly Scalable Evolutionary Real-Valued Optimization by Exploiting Partial Evaluations. Evolutionary Computation, 1–27"
2021,"A hybrid estimation of distribution algorithm for distributed flexible job shop scheduling with crane transportations. Swarm and Evolutionary Computation, 62, 100861"
2021,A matrix-cube-based estimation of distribution algorithm for the distributed assembly permutation flow-shop scheduling problem
2021,"Cellular estimation of distribution algorithm designed to solve the energy resource management problem under uncertainty. Engineering Applications of Artificial Intelligence, 101, 104231"
2021,An estimation of distribution algorithm with branch-and-bound based knowledge for robotic assembly line balancing. Complex & Intelligent Systems
2021,"Optimal Design of Continuum Robots With Reachability Constraints. IEEE Robotics and Automation Letters, 6(2), 3902–3909"
2021,An Estimation of Distribution Algorithm With Filtering and Learning
2021,Bayesian networks for interpretable machine learning and optimization 
2021,A simplified run time analysis of the univariate marginal distribution algorithm on LeadingOnes
2021,Power Aware Data Center Placement in WDM Optical Networks
2021,"An evolutionary fuzzy scheduler for multi-objective resource allocation in fog computing. Future Generation Computer Systems, 117, 498–509"
2021,A cooperative coevolution algorithm for complex hybrid seru-system scheduling optimization. Complex & Intelligent Systems
2021,NMIEDA- Estimation of distribution algorithm based on normalized mutual information
2021,Metaheuristics for Optimal Scheduling of Appliances in Energy Efficient Neighbourhoods
2022,Reliability evaluation of a composite power system in the presence of renewable generations
2022,A vector-to-sequence based multilayer recurrent network surrogate model for history matching of large-scale reservoir
2022,An estimation of distribution algorithm with clustering for scenario-based robust financial optimization
2022,A roadmap for solving optimization problems with estimation of distribution algorithms
2022,An improved Estimation of Distribution Algorithm for Solving Constrained Mixed-Integer Nonlinear Programming Problems
2022,Multisource Heterogeneous User-Generated Contents-Driven Interactive Estimation of Distribution Algorithms for Personalized Search
2022,Bearing Fault Classification Using Improved Antlion Optimizer and Extreme Learning Machine
2022,A Composite Service Provisioning Mechanism in Edge Computing
2022,General Univariate Estimation-of-Distribution Algorithms
2022,Precision Analysis for an Optimal Parallel IIR Filter s Implementation
2022,A practical regularity model based evolutionary algorithm for multiobjective optimization
2022,Multiobjective meta-heuristic with iterative parameter distribution estimation for aeroelastic design of an aircraft wing. Engineering with Computers
2022,The Asteroid Routing Problem- A Benchmark for Expensive Black-Box Permutation Optimization
2022,A bi-level optimization method for integrated production scheduling between continuous casting and hot rolling processes
2022,How majority-vote crossover and estimation-of-distribution algorithms cope with fitness valleys
2022,Combining a hybrid prediction strategy and a mutation strategy for dynamic multiobjective optimization
2022,Knowledge-Based Reinforcement Learning and Estimation of Distribution Algorithm for Flexible Job Shop Scheduling Problem
2022,A General Variable Neighborhood Search approach based on a p-median model for cellular manufacturing problems
2022,Evolving Robust Solutions to Uncertain Capacitated Arc Routing Problem with Time Window
2022,Modeling stochastic service time for complex on-demand food delivery
2022,An efficient mixture sampling model for gaussian estimation of distribution algorithm
2022,The Low-Carbon Scheduling Optimization of Integrated Multispeed Flexible Manufacturing and Multi-AGV Transportation
2022,Estimation of distribution algorithms using Gaussian Bayesian networks to solve industrial optimization problems constrained by environment variables
2022,A matrix cube-based estimation of distribution algorithm for the energy-efficient distributed assembly permutation flow-shop scheduling problem
2022,An EDA-based method for solving electric vehicle charging scheduling problem under limited power and maximum imbalance constraints
2022,Multi-Objective Deep Network-Based Estimation of Distribution Algorithm for Music Composition
2022,A Radial Estimation-of-Distribution Algorithm for the Job-Shop Scheduling Problem
2022,Memetic EDA-Based Approaches to QoS-Aware Fully Automated Semantic Web Service Composition
2022,Resilience-Based Surrogate Robustness Measure and Optimization Method for Robust Job-Shop Scheduling
2022,Combining Soft-Actor Critic with Cross-Entropy Method for Policy Search in Continuous Control
2022,Optimization Techniques and Formal Verification for the Software Design of Boolean Algebra Based Safety-Critical Systems
2022,Introducing Generative adversarial networks on Estimation of distribution algorithm to solve permutation-based problems
2022,A Layered Learning Estimation of Distribution Algorithm
2022,An Estimation of Distribution Algorithm Based on Variational Bayesian for Point-Set Registration
2022,Using estimation of distribution algorithm for procedural content generation in video games
2022,Scheduling of energy-efficient distributed blocking flowshop using pareto-based estimation of distribution algorithm
2022,Choosing the Right Algorithm With Hints From Complexity Theory (Hot-off-the-Press Track at GECCO 2022)
2022,The Compact Genetic Algorithm Struggles on Cliff Functions
2022,Influence of GEOTRACES data distribution and misfit function choice on objective parameter retrieval in a marine zinc cycle model
2022,A matrix-cube-based estimation of distribution algorithm for blocking flow-shop scheduling problem with sequence-dependent setup times
2022,Competition-Driven Dandelion Algorithms With Historical Information Feedback
2022,A Surrogate Model Assisted Estimation of Distribution Algorithm with Mutil-acquisition Functions for Expensive Optimization
2022,A memetic based on-state for max-cut
2022,UAV path optimization with an integrated cost assessment model considering third-party risks in metropolitan environments
2022,Damage identification of single-layer cylindrical latticed shells based on the model updating technique
2022,A novel hybrid recurrent convolutional network for surrogate modeling of history matching and uncertainty quantification
2022,Trajectory optimization of space vehicle in rendezvous proximity operation with evolutionary feasibility conserving techniques
2022,An improved estimation of distribution algorithm for multi-objective optimization problems with mixed-variable
2022,An inverse model-based multiobjective estimation of distribution algorithm using Random-Forest variable importance methods. Computational Intelligence
2022,A Novel Energy Management Strategy for Plug-in Hybrid Electric Buses Based on Model Predictive Control and Estimation of Distribution Algorithm
2022,An improved differential evolution by hybridizing with estimation-of-distribution algorithm
2022,Drought prediction in the Yunnan-Guizhou Plateau of China by coupling the estimation of distribution algorithm and the extreme learning machine
2022,Solving dynamic multi-objective problems using polynomial fitting-based prediction algorithm
2022,Vine copula-based EDA for dynamic multiobjective optimization. Evolutionary Intelligence
2022,Probabilistic calibration and short-term prediction of the prevalence herpes simplex type 2 A transmission dynamics modelling approach
2022,An evolutionary correlation-aware feature selection method for classification problems
2022,An EDA-based Genetic Algorithm for EV Charging Scheduling under Surge Demand
2022,A Coevolutionary Estimation of Distribution Algorithm for Group Insurance Portfolio
2022,An offline learning co-evolutionary algorithm with problem-specific knowledge
2022,Data-Enabled Reactive Power Control of Distributed Energy Resources via a Copula Estimation of Distribution Algorithm
2023,Performance evaluation and optimization model for closed loop production lines considering preventive
2023,A knowledge-based constructive estimation of distribution algorithm for bi-objective portfolio optimization with cardinality constraints
2023,A co-evolutionary migrating birds optimization algorithm based on online learning policy gradient
2023,Towards explainable metaheuristics Feature extraction from trajectory mining
2023,Marginal Distribution Algorithm for Feature Model Test Configuration Generation
2023,A knowledge-driven co-evolutionary algorithm assisted by cross-regional interactive learning
2023,Aligning heterogeneous optimization problems with optimal correspondence assisted affine transformation for evolutionary multi-tasking
2023,How majority-vote crossover and estimation-of-distribution algorithms cope with fitness valleys
2023,Knowledge-Based Reinforcement Learning and Estimation of Distribution Algorithm for Flexible Job Shop Scheduling Problem
2023,Initial core loading pattern optimization studies using estimation of distribution algorithm for VVER type cores
2023,Relational Bayesian Optimization for Permutation
2023,Surrogate-Assisted Hybrid-Model Estimation of Distribution Algorithm for Mixed-Variable Hyperparameters Optimization in Convolutional Neural Networks
2023,A Two-Stage Estimation of Distribution Algorithm With Heuristics for Energy-Aware Cloud Workflow Scheduling
2023,An Estimation of Distribution Algorithm-Based Hyper-Heuristic for the Distributed Assembly Mixed No-Idle Permutation Flowshop Scheduling Problem
2023,Metaheuristic-based time series clustering for anomaly detection in manufacturing industry
2023,An estimation of distribution algorithm based on interactions between requirements to solve the bi-objective Next Release Problem
2023,Using an Estimation of Distribution Algorithm to Achieve Multitasking Semantic Web Service Composition
2023,An Interactive Estimation of the Distribution Algorithm Integrated with Surrogate-Assisted Fitness
2023,Delineation of site-specific management zones using estimation of distribution algorithms
2023,An inverse model-guided two-stage evolutionary algorithm for multi-objective optimization
2023,Study of dynamic performance of heat-integrated distillation columns considering the effect of relative volatility of the mixtures
2023,Process optimization of microbial fermentation with parameter uncertainties via distributionally robust discrete control
2023,A Radial Hybrid Estimation of Distribution Algorithm for the Truck and Trailer Routing Problem
2023,The Directed Multi-Objective Estimation Distribution Algorithm (D-MOEDA)
2023,Bivariate estimation-of-distribution algorithms can find an exponential number of optima
2023,A regularity model-based multi-objective estimation of distribution memetic algorithm with auto-controllable population diversity
2023,Numerical Modeling of the Major Temporal Arcade Using BUMDA and Jacobi Polynomials
2023,FEDA-NRP A fixed-structure multivariate estimation of distribution algorithm to solve the multi-objective Next Release Problem with requirements interactions
2023,Simultaneous Scheduling of Processing Machines and Automated Guided Vehicles via a Multi-View Modeling-Based Hybrid Algorithm
2023,A Matrix-Cube-Based Estimation of Distribution Algorithm for No-Wait Flow-Shop Scheduling With Sequence-Dependent Setup Times and Release Times
2023,Manufacturing rescheduling after crisis or disaster-caused supply chain disruption
2023,An estimation of distribution algorithm with multiple intensification strategies for two-stage hybrid flow-shop scheduling problem with sequence-dependent setup time
2023,Trajectory optimization of space vehicle in rendezvous proximity operation with evolutionary feasibility conserving techniques
2023,Dispatch of highly renewable energy power system considering its utilization via a data-driven Bayesian assisted optimization algorithm
2023,The maximal covering location problem with accessibility indicators and mobile units
2023,A distribution evolutionary algorithm for the graph coloring problem
2023,A Deadlock-Free Hybrid Estimation of Distribution Algorithm for Cooperative Multi-UAV Task Assignment With Temporally Coupled Constraints
